,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
269,"Cudahy, California",0.33,0.44,0.19,2.39,80.69,0.31,1.62,14.03
270,"Crescent City, California",6.43,3.71,0.0,49.24,33.92,3.16,1.75,1.79
271,"Covina, California",3.0,10.37,0.02,17.25,45.16,1.45,4.07,18.68
272,"Cotati, California",2.52,1.78,0.16,63.97,19.05,0.0,5.29,7.23
273,"Costa Mesa, California",1.68,7.36,0.57,43.54,31.59,0.37,3.5,11.38
274,"Coronado, California",3.87,3.6,0.14,72.03,15.12,0.71,2.96,1.59
275,"Corona, California",5.12,9.55,0.45,31.08,37.97,0.3,4.02,11.51
276,"Corning, California",0.71,0.27,0.0,46.15,39.29,2.75,1.47,9.35
277,"Corcoran, California",8.92,0.66,0.09,14.22,55.1,1.58,2.7,16.73
278,"Lomita, California",4.11,13.21,0.0,34.89,29.3,0.69,6.97,10.82
279,"Compton, California",22.36,0.62,0.21,0.9,51.78,0.23,1.19,22.71
280,"Commerce, California",1.21,0.45,0.09,0.96,76.24,1.36,1.51,18.18
281,"Calistoga, California",0.45,4.27,0.27,47.01,35.86,1.64,0.78,9.71
282,"Calimesa, California",1.12,1.86,0.0,59.38,26.29,0.62,4.95,5.77
283,"California City, California",23.94,3.45,0.22,30.94,28.0,1.77,5.46,6.23
284,"Calexico, California",0.31,0.53,0.0,1.04,83.17,0.14,1.09,13.73
285,"Azusa, California",2.47,9.34,0.12,13.99,47.28,0.85,4.19,21.76
286,"Avenal, California",2.96,0.25,0.01,7.69,54.86,0.71,1.04,32.49
287,"Avalon, California",0.02,0.0,0.02,32.25,47.96,0.0,5.3,14.46
288,"Auburn, California",0.19,1.87,0.0,80.12,9.84,0.14,6.67,1.17
289,"Atwater, California",3.02,2.5,0.09,24.71,43.74,0.6,3.64,21.71
290,"Atherton, California",0.93,20.16,0.11,68.78,4.76,0.6,3.47,1.19
291,"Atascadero, California",0.86,1.6,0.07,73.75,16.5,0.62,4.78,1.8
292,"Arvin, California",1.01,0.09,0.0,4.41,86.31,0.15,0.75,7.28
293,"Artesia, California",2.31,30.1,0.31,13.54,32.11,0.4,3.58,17.64
294,"Arroyo Grande, California",0.74,4.27,0.64,70.16,16.06,1.42,3.46,3.25
295,"Arcata, California",2.83,2.13,0.36,65.13,14.99,1.58,6.73,6.27
296,"Arcadia, California",1.62,57.62,0.28,20.74,11.62,0.27,3.16,4.69
297,"Apple Valley, California",8.4,2.74,0.03,46.31,34.03,0.68,4.42,3.39
298,"Antioch, California",17.01,9.08,0.86,24.22,28.1,0.61,7.86,12.25
299,"Anderson, California",2.13,2.39,0.21,69.71,14.2,4.65,5.04,1.66
300,"Anaheim, California",2.2,15.02,0.34,22.23,48.44,0.35,2.97,8.46
301,"American Canyon, California",6.87,32.16,0.44,20.53,24.8,0.74,6.51,7.95
302,"Alturas, California",3.17,0.38,0.0,79.78,12.17,0.87,3.63,0.0
303,"Aliso Viejo, California",1.82,13.99,0.06,55.22,17.8,0.51,6.14,4.45
304,"Alhambra, California",1.79,41.84,0.27,7.39,29.36,0.39,2.32,16.63
305,"Albany, California",2.29,27.54,0.5,42.53,11.71,0.8,7.97,6.66
306,"Alameda, California",6.73,29.37,0.48,40.27,11.29,0.37,7.72,3.78
307,"Agoura Hills, California",2.59,7.86,0.0,72.73,10.41,0.0,3.65,2.75
308,"Adelanto, California",17.78,1.08,0.22,10.31,56.01,0.29,4.61,9.7
309,"Bakersfield, California",6.41,6.39,0.19,29.17,43.15,0.91,3.4,10.38
310,"Dixon, California",1.91,3.56,0.38,39.06,35.16,0.48,5.84,13.6
311,"Baldwin Park, California",1.58,13.56,0.48,2.82,52.86,0.99,3.75,23.94
312,"Barstow, California",16.39,2.64,1.25,24.18,40.79,2.56,6.6,5.58
313,"Calabasas, California",0.78,9.42,0.0,75.09,8.18,0.3,5.14,1.09
314,"Burlingame, California",1.44,23.54,0.16,51.2,11.58,0.18,6.57,5.33
315,"Burbank, California",2.56,11.41,0.01,51.56,21.56,0.61,4.5,7.81
