,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
325,"Cuba, Alabama",13.07,58.52,13.64,5.68,9.09
326,"Gainesville, Alabama",44.17,39.17,13.33,1.67,1.67
327,"Libertyville, Alabama",16.42,64.18,17.91,0.0,1.49
328,"Alabaster, Alabama",25.46,59.42,8.69,1.57,4.87
329,"Harpersville, Alabama",20.1,54.88,12.55,4.92,7.55
330,"Gantt, Alabama",8.93,66.07,11.61,0.0,13.39
331,"Glen Allen, Alabama",18.13,51.65,17.86,0.55,11.81
332,"Franklin, Alabama",25.47,47.2,19.88,4.35,3.11
333,"Blue Springs, Alabama",20.45,61.36,6.82,6.82,4.55
334,"Hobson City, Alabama",44.65,36.41,7.08,4.94,6.92
335,"Cottonwood, Alabama",24.24,42.39,17.44,2.43,13.49
336,"Chickasaw, Alabama",39.44,32.8,15.07,5.12,7.56
337,"Saraland, Alabama",27.69,51.44,11.73,2.56,6.59
338,"Cordova, Alabama",22.21,48.51,15.88,2.23,11.17
339,"New Market, Alabama",24.64,57.94,4.22,0.0,13.21
340,"Repton, Alabama",24.55,42.86,7.59,4.02,20.98
341,"New Hope, Alabama",21.33,53.42,18.33,2.29,4.63
342,"Gurley, Alabama",24.83,45.95,17.4,1.52,10.3
343,"Auburn, Alabama",55.21,35.95,6.12,0.82,1.9
344,"Opelika, Alabama",33.76,43.69,12.71,2.95,6.9
345,"Leighton, Alabama",41.61,31.92,16.34,2.94,7.19
346,"Fort Rucker, Alabama",34.62,61.48,3.08,0.09,0.74
347,"Midland City, Alabama",32.08,42.73,11.09,5.01,9.09
348,"Black, Alabama",13.84,76.1,8.18,0.0,1.89
349,"Geneva, Alabama",29.53,42.77,15.09,3.68,8.93
350,"Jacksons' Gap, Alabama",16.17,56.23,20.92,1.78,4.9
351,"Maplesville, Alabama",27.46,40.24,22.63,3.97,5.7
352,"Odenville, Alabama",17.18,58.59,11.8,3.51,8.92
353,"Brundidge, Alabama",47.37,28.04,11.52,3.45,9.61
354,"Roanoke, Alabama",28.09,38.2,15.68,3.18,14.85
355,"Rock Mills, Alabama",49.88,32.79,2.81,3.75,10.77
356,"Russellville, Alabama",33.28,45.97,9.65,3.34,7.76
357,"Vina, Alabama",22.48,50.0,21.81,0.67,5.03
358,"Providence, Alabama",35.06,50.57,10.34,1.15,2.87
359,"Grant, Alabama",16.01,59.02,13.03,3.93,8.01
360,"Daviston, Alabama",18.63,60.25,6.83,1.24,13.04
361,"Clanton, Alabama",31.12,41.55,17.45,0.55,9.34
362,"Moores Mill, Alabama",25.18,49.88,13.32,2.63,9.0
363,"Excel, Alabama",27.76,55.26,11.97,0.79,4.21
364,"Pine Hill, Alabama",42.35,38.79,5.1,6.34,7.42
365,"Spruce Pine, Alabama",32.21,18.79,48.99,0.0,0.0
366,"Woodstock, Alabama",34.51,49.31,8.32,2.25,5.62
367,"Westover, Alabama",13.53,65.29,16.47,0.76,3.95
368,"Valley Grande, Alabama",27.55,58.11,7.61,2.4,4.34
369,"Center Point, Alabama",37.05,35.29,15.94,5.05,6.67
370,"Smiths Station, Alabama",25.62,49.35,13.61,3.54,7.89
371,"Gadsden, Alabama",34.82,35.46,16.7,3.13,9.89
372,"Abanda, Alabama",9.82,60.12,0.0,0.0,30.06
373,"Mount Vernon, Alabama",39.72,38.56,9.97,3.83,7.93
374,"Pennington, Alabama",27.65,39.59,18.43,3.75,10.58
375,"Union, Alabama",55.93,17.78,10.0,2.59,13.7
376,"Red Bay, Alabama",27.18,40.49,15.41,2.55,14.36
377,"Stockton, Alabama",20.47,50.49,16.96,9.55,2.53
378,"Stapleton, Alabama",11.25,70.42,10.13,2.13,6.08
379,"Perdido, Alabama",23.2,45.1,27.12,1.96,2.61
380,"Samson, Alabama",27.17,40.24,18.61,3.93,10.05
381,"Lillian, Alabama",18.2,67.95,8.68,0.0,5.18
382,"Axis, Alabama",22.56,64.14,3.79,0.0,9.52
383,"Belgreen, Alabama",0.0,46.67,43.33,0.0,10.0
384,"Chelsea, Alabama",18.16,68.98,8.7,0.71,3.45
385,"Ashville, Alabama",30.04,48.14,10.33,1.56,9.93
386,"Ashland, Alabama",24.55,36.14,19.28,4.96,15.07
387,"Ashford, Alabama",30.97,49.26,9.46,3.01,7.29
388,"Carlisle-Rockledge, Alabama",25.71,51.36,19.34,0.4,3.18
389,"Calvert, Alabama",31.19,14.15,24.76,0.0,29.9
390,"Ballplay, Alabama",21.33,63.91,10.15,0.0,4.61
391,"Bucks, Alabama",0.0,100.0,0.0,0.0,0.0
392,"Brook Highland, Alabama",35.62,46.87,12.25,2.02,3.24
393,"Bristow Cove, Alabama",24.7,46.61,17.22,0.0,11.48
394,"Brantleyville, Alabama",34.09,37.83,21.26,0.0,6.82
395,"Boykin, Alabama",66.41,6.25,0.0,22.66,4.69
396,"Belle Fontaine, Alabama",25.51,44.47,24.38,0.0,5.64
397,"Bellamy, Alabama",49.74,19.21,12.37,4.47,14.21
398,"Broomtown, Alabama",31.21,52.23,5.1,0.0,11.46
399,"Bon Secour, Alabama",9.48,51.16,30.1,0.0,9.26
400,"Kimberly, Alabama",22.36,62.81,8.12,0.54,6.16
401,"Cottondale, Alabama",34.8,44.35,11.23,1.98,7.65
402,"Stewartville, Alabama",23.51,52.64,8.95,1.8,13.11
403,"Sterrett, Alabama",16.3,46.08,26.83,1.28,9.5
404,"Tidmore Bend, Alabama",19.14,63.44,8.8,2.68,5.93
405,"Standing Rock, Alabama",5.93,94.07,0.0,0.0,0.0
406,"Spring Garden, Alabama",31.35,49.73,8.65,0.0,10.27
407,"Sims Chapel, Alabama",40.0,60.0,0.0,0.0,0.0
408,"Tibbie, Alabama",17.78,46.67,0.0,35.56,0.0
